"fullname","region","councillors","place","key"
"Ахметов","Дніпропетровська",73,1,"dnipro" 
"Ахметов","Запорізька",37,1,"zaporojie"
"Іванчик","Полтавська",37,1,"poltava"
"Веревський","Хмельницька",36,1,"hmelnitsk"
"Порошенко","Вінницька",32,1,"vinnitsa"
"Веревський","Полтавська",31,2,"poltava"
"Агрохолдинг Мрія","Тернопільська",30,1,"ternopol"
"Ахметов","Донецька",28,1,"donetsk"
"Новинський","Дніпропетровська",28,2,"dnipro"
"Лебедин","Полтавська",25,3,"poltava"
"Фрідман","Дніпропетровська",23,3,"dnipro"
"Веревський","Чернігівська",21,1,"chernihiv"
"Фрідман","Харківська",20,1,"kharkiv"
"NCH Capital","Вінницька",18,2,"vinnitsa"
"Веревський","Сумська",17,1,"sumy"
"Косюк","Черкаська",17,1,"cherkasy"
"Лабазюк","Хмельницька",17,2,"hmelnitsk"
"Minerfin a.s.","Запорізька",16,2,"zaporojie"
"Іванчик","Хмельницька",16,3,"hmelnitsk"
"Косюк","Вінницька",16,3,"vinnitsa"
"Фрідман","Київська та Київ",16,1,"kyiv"
"Лейві","Хмельницька",15,4,"hmelnitsk"
"Буряк","Хмельницька",14,5,"hmelnitsk"
"Фрідман","Львівська",14,1,"lviv"
"Фрідман","Полтавська",14,4,"poltava"
"Петров","Чернігівська",14,2,"chernihiv"
"Андрущенко","Сумська",13,2,"sumy"
"Бахматюк","Вінницька",13,4,"vinnitsa"
"Давиденко","Чернігівська",13,3,"chernihiv"
"Кияновський","Чернігівська",13,4,"chernihiv"
"Фрідман","Закарпатська",13,1,"zakarpatie"
"Фрідман","Кіровоградська",13,1,"kirovograd"
"Тігіпко","Дніпропетровська",13,4,"dnipro"
"ПАЕК","Миколаївська",12,1,"mykolaiv"
"Бахматюк","Чернігівська",12,5,"chernihiv"
"Кравченко","Черкаська",12,2,"cherkasy"
"Фрідман","Вінницька",12,5,"vinnitsa"
"Фрідман","Запорізька",12,3,"zaporojie"
"р-на Кузьменків","Кіровоградська",12,2,"kirovograd"
"NCH Capital","Сумська",11,3,"sumy"
"Ахметов","Київська та Київ",11,2,"kyiv"
"Бахматюк","Полтавська",11,5,"poltava"
"Бобови/Прикидько","Черкаська",11,3,"cherkasy"
"Веревський","Кіровоградська",11,3,"kirovograd"
"Кожемяко","Харківська",11,2,"kharkiv"
"Фрідман","Миколаївська",11,2,"mykolaiv"
"Савченко","Черкаська",11,4,"cherkasy"
"Ахметов","Львівська",10,2,"lviv"
"Кореліду","Дніпропетровська",10,5,"dnipro"
"Сідлецький","Черкаська",10,5,"cherkasy"
"Чарнецькі","Івано-Франківська",10,1,"frankovsk"
"KRMG (Ukraine) Limited","Львівська",9,3,"lviv"
"NCH Capital","Тернопільська",9,2,"ternopol"
"Андріан","Тернопільська",9,3,"ternopol"
